test_code,test_name,unit,low,high,critical_low,critical_high
GLU,Glucose,mg/dL,70,99,50,400
HBA1C,Hemoglobin A1c,%,4.0,5.6,,14.0
K,Potassium,mmol/L,3.5,5.1,2.5,6.5
NA,Sodium,mmol/L,135,145,120,160
CR,Creatinine,mg/dL,0.6,1.3,,4.0
EGFR,Estimated GFR,mL/min/1.73m2,90,120,15,
TSH,Thyroid Stimulating Hormone,mIU/L,0.4,4.0,,
LDL,LDL Cholesterol,mg/dL,0,99,,
HDL,HDL Cholesterol,mg/dL,40,60,,
INR,International Normalized Ratio,ratio,0.8,1.1,,5.0
HGB,Hemoglobin,g/dL,12.0,17.5,7.0,20.0
WBC,White Blood Cell Count,10^3/uL,4.5,11.0,2.0,30.0
PLT,Platelet Count,10^3/uL,150,450,20,1000
